"";"ID";"Soil";"Diversity";"Time";"Rep"
"AxC-5T5R3";"AxC-5T5R3";"AxC";"5";"T5";"R3"
"AxC-5T5R4";"AxC-5T5R4";"AxC";"5";"T5";"R4"
"AxC-5T5R5";"AxC-5T5R5";"AxC";"5";"T5";"R5"
"AxC-5T5R6";"AxC-5T5R6";"AxC";"5";"T5";"R6"
"B10-1T15R1";"B10-1T15R1";"B";"1";"T15";"R1"
"B10-1T15R2";"B10-1T15R2";"B";"1";"T15";"R2"
"B10-1T15R3";"B10-1T15R3";"B";"1";"T15";"R3"
"B10-1T15R4";"B10-1T15R4";"B";"1";"T15";"R4"
"B10-1T15R5";"B10-1T15R5";"B";"1";"T15";"R5"
"B10-1T15R6";"B10-1T15R6";"B";"1";"T15";"R6"
"B10-1T1R1";"B10-1T1R1";"B";"1";"T1";"R1"
"B10-1T1R2";"B10-1T1R2";"B";"1";"T1";"R2"
"B10-1T1R3";"B10-1T1R3";"B";"1";"T1";"R3"
"B10-1T1R4";"B10-1T1R4";"B";"1";"T1";"R4"
"B10-1T1R5";"B10-1T1R5";"B";"1";"T1";"R5"
"B10-1T1R6";"B10-1T1R6";"B";"1";"T1";"R6"
"B10-1T30R1";"B10-1T30R1";"B";"1";"T30";"R1"
"B10-1T30R2";"B10-1T30R2";"B";"1";"T30";"R2"
"B10-1T30R3";"B10-1T30R3";"B";"1";"T30";"R3"
"B10-1T30R4";"B10-1T30R4";"B";"1";"T30";"R4"
"B10-1T30R5";"B10-1T30R5";"B";"1";"T30";"R5"
"B10-1T30R6";"B10-1T30R6";"B";"1";"T30";"R6"
"B10-1T5R1";"B10-1T5R1";"B";"1";"T5";"R1"
"B10-1T5R2";"B10-1T5R2";"B";"1";"T5";"R2"
"B10-1T5R3";"B10-1T5R3";"B";"1";"T5";"R3"
"B10-1T5R4";"B10-1T5R4";"B";"1";"T5";"R4"
"B10-1T5R5";"B10-1T5R5";"B";"1";"T5";"R5"
"B10-1T5R6";"B10-1T5R6";"B";"1";"T5";"R6"
"B10-3T15R1";"B10-3T15R1";"B";"3";"T15";"R1"
"B10-3T15R2";"B10-3T15R2";"B";"3";"T15";"R2"
"B10-3T15R3";"B10-3T15R3";"B";"3";"T15";"R3"
"B10-3T15R4";"B10-3T15R4";"B";"3";"T15";"R4"
"B10-3T15R5";"B10-3T15R5";"B";"3";"T15";"R5"
"B10-3T15R6";"B10-3T15R6";"B";"3";"T15";"R6"
"B10-3T1R1";"B10-3T1R1";"B";"3";"T1";"R1"
"B10-3T1R2";"B10-3T1R2";"B";"3";"T1";"R2"
"B10-3T1R3";"B10-3T1R3";"B";"3";"T1";"R3"
"B10-3T1R4";"B10-3T1R4";"B";"3";"T1";"R4"
"B10-3T1R5";"B10-3T1R5";"B";"3";"T1";"R5"
"B10-3T1R6";"B10-3T1R6";"B";"3";"T1";"R6"
