ID,Soil,Diversity,Time,Rep
C_d5_T30_2,C,d5,30,2
C_d5_T30_3,C,d5,30,3
C_d5_T30_4,C,d5,30,4
C_d5_T30_5,C,d5,30,5
AxB_d5_T30_1,AxB,d5,30,1
AxB_d5_T30_2,AxB,d5,30,2
AxB_d5_T30_3,AxB,d5,30,3
AxB_d5_T30_4,AxB,d5,30,4
AxB_d5_T30_5,AxB,d5,30,5
A_d5_T15_5,A,d5,15,5
AxB_d5_T30_6,AxB,d5,30,6
AxC_d5_T30_1,AxC,d5,30,1
AxC_d5_T30_2,AxC,d5,30,2
AxC_d5_T30_3,AxC,d5,30,3
AxC_d5_T30_4,AxC,d5,30,4
AxC_d5_T30_5,AxC,d5,30,5
AxC_d5_T30_6,AxC,d5,30,6
BxC_d5_T30_1,BxC,d5,30,1
BxC_d5_T30_2,BxC,d5,30,2
BxC_d5_T30_3,BxC,d5,30,3
B_d5_T15_4,B,d5,15,4
BxC_d5_T30_4,BxC,d5,30,4
BxC_d5_T30_5,BxC,d5,30,5
BxC_d5_T30_6,BxC,d5,30,6
B_d5_T15_5,B,d5,15,5
B_d5_T15_6,B,d5,15,6
AxB_d5_T15_6,AxB,d5,15,6
BxC_d5_T15_6,BxC,d5,15,6
C_d5_T30_6,C,d5,30,6
A_d5_T15_6,A,d5,15,6
